NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 81%2408522	SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 81%2408522	Details ...	87	-0.9065119	-3.0998373	0.0	0.0	0.0	439	tags=79%, list=5%, signal=83%	
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	Details ...	73	-0.9274566	-3.0837142	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20240310%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20240310%WP477%HOMO SAPIENS	Details ...	76	-0.9298725	-3.0761263	0.0	0.0	0.0	411	tags=87%, list=5%, signal=91%	
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	Details ...	73	-0.9274566	-3.0696945	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME DATABASE ID RELEASE 81%156827	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME DATABASE ID RELEASE 81%156827	Details ...	100	-0.8812278	-3.0674207	0.0	0.0	0.0	478	tags=78%, list=6%, signal=82%	
PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	Details ...	75	-0.9227449	-3.0590906	0.0	0.0	0.0	439	tags=89%, list=5%, signal=94%	
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	Details ...	73	-0.9274566	-3.0548842	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	Details ...	73	-0.9274566	-3.0478086	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.4	SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.4	Details ...	80	-0.9131351	-3.0458167	0.0	0.0	0.0	439	tags=85%, list=5%, signal=89%	
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	Details ...	73	-0.9274566	-3.0399997	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	Details ...	73	-0.9274566	-3.0360458	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	Details ...	73	-0.9274566	-3.0347493	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.3	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.3	Details ...	91	-0.8981774	-3.032802	0.0	0.0	0.0	478	tags=85%, list=6%, signal=89%	
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	Details ...	73	-0.9274566	-3.0275004	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	Details ...	73	-0.9274566	-3.0228145	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	Details ...	73	-0.9274566	-3.0199132	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
