NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE	SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE	Details ...	48	0.81443673	2.215284	0.0	0.0	0.0	1014	tags=50%, list=12%, signal=57%	
THROMBOXANE A2 RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%THROMBOXANE A2 RECEPTOR SIGNALING	THROMBOXANE A2 RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%THROMBOXANE A2 RECEPTOR SIGNALING	Details ...	41	0.8390794	2.172231	0.0	0.0	0.0	749	tags=49%, list=9%, signal=53%	
PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY	PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY	Details ...	37	0.8305065	2.1148984	0.0	0.0	0.0	1014	tags=57%, list=12%, signal=64%	
INSULIN SIGNALING%WIKIPATHWAYS_20240310%WP481%HOMO SAPIENS	INSULIN SIGNALING%WIKIPATHWAYS_20240310%WP481%HOMO SAPIENS	Details ...	91	0.70909697	2.0853808	0.0	0.0	0.0	1069	tags=34%, list=13%, signal=39%	
PDGFR-BETA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-BETA SIGNALING PATHWAY	PDGFR-BETA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-BETA SIGNALING PATHWAY	Details ...	106	0.6995319	2.0825286	0.0	0.0	0.0	1072	tags=35%, list=13%, signal=40%	
PAR1-MEDIATED THROMBIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PAR1-MEDIATED THROMBIN SIGNALING EVENTS	PAR1-MEDIATED THROMBIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PAR1-MEDIATED THROMBIN SIGNALING EVENTS	Details ...	35	0.8194429	2.0706723	0.0	0.0	0.0	516	tags=43%, list=6%, signal=46%	
HALLMARK_HEME_METABOLISM%MSIGDBHALLMARK%HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM%MSIGDBHALLMARK%HALLMARK_HEME_METABOLISM	Details ...	98	0.70272905	2.0509377	0.0	1.5112493E-4	0.001	763	tags=29%, list=9%, signal=31%	
FOCAL ADHESION%WIKIPATHWAYS_20240310%WP306%HOMO SAPIENS	FOCAL ADHESION%WIKIPATHWAYS_20240310%WP306%HOMO SAPIENS	Details ...	85	0.6930353	2.0370624	0.0	1.3223432E-4	0.001	1501	tags=51%, list=18%, signal=61%	
CELL JUNCTION ORGANIZATION%GOBP%GO:0034330	CELL JUNCTION ORGANIZATION%GOBP%GO:0034330	Details ...	118	0.67302686	2.0304694	0.0	2.3495966E-4	0.002	1049	tags=28%, list=13%, signal=32%	
PID_PDGFRB_PATHWAY%MSIGDB_C2%PID_PDGFRB_PATHWAY	PID_PDGFRB_PATHWAY%MSIGDB_C2%PID_PDGFRB_PATHWAY	Details ...	82	0.7087244	2.023848	0.0	2.1146369E-4	0.002	1014	tags=34%, list=12%, signal=39%	
